Industry,Business Name,Original Scrapped Investment,Slightly Investment Required, Min Investment , Max Investment  ,Currency
Educational Products & Services,Megamind Learning Centre,Investment Required: $60K-$125k (plus applicable taxes),$60K-$125k (plus applicable taxes),,,
Commercial / Residential Services,Men In Kilts Window & Exterior Cleaning,"Investment Required: $157,290-$191,950","$157,290-$191,950",,,
Home - Maid / Cleaning Services,Merry Maids of Canada,Investment Required: $50K-$70K,$50K-$70K,,,
Business - Supplies / Equipment & Services,Metal Supermarkets,Investment Required: Inquire,Inquire,,,
Commercial / Residential Services,Metropolitan Movers,"Investment Required: $45,500 - $125,500","$45,500 - $125,500",,,
Automotive & Truck Services / Products / Rentals,Midas Canada Inc.,"Investment Required: $320,250-$469,517","$320,250-$469,517",,,
Home - Inspection Services,,Investment Required: Varies/Financing Available,Varies/Financing Available,,,
Food - Restaurants / Dining Rooms,Milestones Grill + Bar,Investment Required: $2M-$3M,$2M-$3M,,,
Home - Maid / Cleaning Services,Mint Maids,Investment Required: $15K,$15K,,,
Automotive & Truck Services / Products / Rentals,Minute Muffler and Brake,Investment Required: Inquire,Inquire,,,
Printing / Copying / Shipping,Minuteman Press International,Investment Required: $100K-$150K,$100K-$150K,,,
Automotive & Truck Services / Products / Rentals,Mister Transmission (International),Investment Required: $120K - $150K,$120K - $150K,,,
Food - Baked Goods / Coffee / Donuts,Mixed Senses,"Investment Required: $200,000","$200,000",,,
Food - Quick Service Restaurants,Mo'Cha Bubble Tea,Investment Required: $270K-$290K,$270K-$290K,,,
Commercial - Janitorial Services,Modern,"Investment Required: $200,000","$200,000",,,
Commercial / Residential Services,MODERN PURAIR - INDOOR AIR QUALITY EXPERTS,Investment Required: $57K+,$57K+,,,
Home - Maid / Cleaning Services,MOLLY MAID Canada Inc.,Investment Required: $48k+,$48k+,,,
Hotels / Motels / Campgrounds,Motel 6,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,Mr. Greek Restaurants,Investment Required: Retro: starting from $300K New: starting from $450K+,Retro: starting from $300K New: starting from $450K+,,,
Home - Improvement / Renovation / Restoration,Mr. Handyman,"Investment Required: + ($56,600 -$93,200 USD)","+ ($56,600 -$93,200 USD)",,,
Automotive & Truck Services / Products / Rentals,Mr. Lube Canada,Investment Required: $1.5M-$2.0M,$1.5M-$2.0M,,,
Commercial / Residential Services,Mr. Rooter,"Investment Required: + ($39,975 - $147,140 USD)","+ ($39,975 - $147,140 USD)",,,
Accounting / Tax Services,MrTaxes.ca Franchising Inc.,Investment Required: $10K-$25K,$10K-$25K,,,
Retail,Music Go Round,Investment Required: $321K - $410K,$321K - $410K,,,
Sports / Recreation / Entertainment,Musicworks Canada,Investment Required: Inquire,Inquire,,,
Hair & Nail Salons / Spas,MVP Modern Barbers,Investment Required: $135K,$135K,,,
Food - Quick Service Restaurants,My-Thai Fresh Kitchen,Investment Required:,Investment Required:,,,
Home - Improvement / Renovation / Restoration,N-Hance,Investment Required: $70K+,$70K+,,,
Food - Quick Service Restaurants,Nani's Gelato,Investment Required: Inquire,Inquire,,,
Retail,National Mattress Outlet Plus+,Investment Required: $250k-$450k,$250k-$450k,,,
Home - Improvement / Renovation / Restoration,New Creations,Investment Required: $65 - 100k,$65 - 100k,,,
Food - Quick Service Restaurants,"NEW ORLEANS PIZZA CANADA, INC.",Investment Required: $327K,$327K,,,
Home - Improvement / Renovation / Restoration,NHance Quebec,Investment Required: Inquire,Inquire,,,
Food - Restaurants / Dining Rooms,Nickels Delicatessen,Investment Required: $800K-$1M,$800K-$1M,,,
Automotive & Truck Services / Products / Rentals,NOVUS Glass,Investment Required: $35K-$185K,$35K-$185K,,,
Educational Products & Services,O'Botz,Investment Required: Inquire,Inquire,,,
Children's Products & Services,Once Upon A Child,"Investment Required: $321,300 - $435,000","$321,300 - $435,000",,,
Seniors Services / Home Care / Transition,"ONESource Moving Solutions for Seniors, Professionals and Families",Investment Required: Financing available,Financing available,,,
Food - Quick Service Restaurants,OPA! of Greece,Investment Required: $550K-$650K,$550K-$650K,,,
Food - Quick Service Restaurants,Orange Julius Canada Limited,Investment Required: $100K+,$100K+,,,
Health / Fitness / Nutrition,Orangetheory Fitness,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,Osmow's,"Investment Required: $457,448- $605,668","$457,448- $605,668",,,
Lawn & Garden Supplies / Services,Outdoor Lighting Perspectives,Investment Required: Inquire,Inquire,,,
Food - Restaurants / Dining Rooms,Pacini,Investment Required: $1.5M,$1.5M,,,
Printing / Copying / Shipping,"Packaging Depot (FedEx, DHL, Purolator, Loomis)",Investment Required: $50K-$80K,$50K-$80K,,,
Accounting / Tax Services,PADGETT BUSINESS SERVICES,Investment Required: $48K,$48K,,,
Food - Baked Goods / Coffee / Donuts,Paris Baguette,Investment Required: Inquire,Inquire,,,
Commercial / Residential Services,Pest Detective,"Investment Required: $95,000","$95,000",,,
Pets - Sales / Supplies / Services,PET VALU,"Investment Required: $538,000 to $724,000","$538,000 to $724,000",,,
Beauty / Cosmetics / Supplies,Phenix Salon Suites,"Investment Required: $632,346 to $1,165,275","$632,346 to $1,165,275",,,
Food - Quick Service Restaurants,Pierogi House,Investment Required: $200-$340K,$200-$340K,,,
Home - Inspection Services,Pillar To Post Home Inspectors,"Investment Required: $78,160-$90,835","$78,160-$90,835",,,
Business - Supplies / Equipment & Services,PIRTEK CANADA,"Investment Required: $160,000 - $780,000 (USD)","$160,000 - $780,000 (USD)",,,
Food - Quick Service Restaurants,Pita Land Inc,Investment Required: $213K -  $388K (plus applicable taxes),$213K -  $388K (plus applicable taxes),,,
Food - Quick Service Restaurants,Pita Pit,Investment Required: $125K-$350K,$125K-$350K,,,
Food - Quick Service Restaurants,Pizza 73,Investment Required: $350K - $450K (+Administrative Fees),$350K - $450K (+Administrative Fees),,,
Food - Quick Service Restaurants,Pizza Depot,Investment Required: $192K-$250K,$192K-$250K,,,
Food - Restaurants / Dining Rooms,Pizza Hotline,Investment Required: $400K,$400K,,,
Food - Restaurants / Dining Rooms,Pizza Hotline - Stone Fired Pizzeria,"Investment Required: $250,000","$250,000",,,
Food - Quick Service Restaurants,Pizza Hut Canada,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,Pizza Nova,Investment Required: $525K-$575K,$525K-$575K,,,
Food - Quick Service Restaurants,Pizza Studio,Investment Required: 250k-350k,250k-350k,,,
Food - Quick Service Restaurants,Pizzaville Inc.,Investment Required: $250-$450K,$250-$450K,,,
Health / Fitness / Nutrition,Planet Fitness,Investment Required: $2M CAD - $6M CAD,$2M CAD - $6M CAD,,,
Retail,Plato's Closet,"Investment Required: $323,300 - $447,400","$323,300 - $447,400",,,
Sports / Recreation / Entertainment,Play It Again Sports,"Investment Required: $314,900 - $412,800","$314,900 - $412,800",,,
Food - Quick Service Restaurants,Popeyes Louisiana Kitchen,Investment Required: $1.5M USD for 5 stores,$1.5M USD for 5 stores,,,
Food - Quick Service Restaurants,Potikki's,Investment Required: $300K-$500K,$300K-$500K,,,
Home - Improvement / Renovation / Restoration,PREP'N SELL,Investment Required: $50K,$50K,,,
Printing / Copying / Shipping,Print Three Franchising Corporation,Investment Required: $375K,$375K,,,
Automotive & Truck Services / Products / Rentals,Pro Fleet Care Franchising,Investment Required: $33K-$70K varies if purchase outright truck,$33K-$70K varies if purchase outright truck,,,
Automotive & Truck Services / Products / Rentals,ProColor Collision,Investment Required: Inquire,Inquire,,,
Real Estate,PropertyGuys.com Inc.,Investment Required: $50K- $125K,$50K- $125K,,,
Home Based Businesses,Puddle Pool Services,"Investment Required: $88,000 - $135,400","$88,000 - $135,400",,,
Home - Improvement / Renovation / Restoration,PuroClean,Investment Required: $220K,$220K,,,
Seniors Services / Home Care / Transition,Qualicare,Investment Required: $100K-$150K,$100K-$150K,,,
Hotels / Motels / Campgrounds,Quality® (Choice Hotels Canada Inc.),Investment Required: 4M+,4M+,,,
Food - Quick Service Restaurants,Quesada Burritos & Tacos,Investment Required: $350K-$450K,$350K-$450K,,,
Food - Quick Service Restaurants,"Radius Apollo Investments, LLC",Investment Required: Inquire,Inquire,,,
Food - Restaurants / Dining Rooms,Ramen Misoya,Investment Required: $500K-$700K depending on the unit size,$500K-$700K depending on the unit size,,,
Educational Products & Services,REACH OG Learning Centres Inc.,Investment Required: Inquire,Inquire,,,
Real Estate,Real Property Management,Investment Required: Inquire,Inquire,,,
Hotels / Motels / Campgrounds,Realstar Hospitality,Investment Required: Inquire,Inquire,,,
Real Estate,Realty One Group,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,Rebel Greek,Investment Required: $250K-$550K,$250K-$550K,,,
Food - Restaurants / Dining Rooms,Ricky's All Day Grill,Investment Required: $650K- $950K,$650K- $950K,,,
Seniors Services / Home Care / Transition,Right at Home Canada,Investment Required: $100-$150K,$100-$150K,,,
Food - Baked Goods / Coffee / Donuts,Robin's Donuts,Investment Required: $250K-$500K,$250K-$500K,,,
Hotels / Motels / Campgrounds,Rodeway Inn® (Choice Hotels Canada Inc.),Investment Required: $4M+,$4M+,,,
Real Estate,Royal York Property Management,"Investment Required: $100,000 - $125,000","$100,000 - $125,000",,,
Educational Products & Services,Sandler Training Canada (7382953 Manitoba Ltd),Investment Required: $80K,$80K,,,
Educational Products & Services,Scholars,Investment Required: $100-$165K,$100-$165K,,,
Food - Baked Goods / Coffee / Donuts,Scooter's Coffee,Investment Required: $1.0M+,$1.0M+,,,
Food - Quick Service Restaurants,Score Pizza,"Investment Required: $360,000-$730,000","$360,000-$730,000",,,
Food - Baked Goods / Coffee / Donuts,Second Cup Café,Investment Required: $150K-$500K,$150K-$500K,,,
Seniors Services / Home Care / Transition,Senior Helpers,Investment Required: $97K-$149K,$97K-$149K,,,
Food - Baked Goods / Coffee / Donuts,Serious Coffee,Investment Required: $325K-$400K,$325K-$400K,,,
Commercial - Janitorial Services,ServiceMaster Clean,Investment Required: $50K-$100K plus,$50K-$100K plus,,,
Commercial - Janitorial Services,ServiceMaster of Canada Limited,Investment Required: $50K-$200K,$50K-$200K,,,
Home - Improvement / Renovation / Restoration,ServiceMaster Restore,Investment Required: $200K+,$200K+,,,
Home - Improvement / Renovation / Restoration,Servpro,"Investment Required: $145,450-$202,650","$145,450-$202,650",,,
Other,SG Yard Signs,Investment Required: $4K-$10K,$4K-$10K,,,
Event Planning,Shady Spaces Corp.,Investment Required: Inquire,Inquire,,,
Home - Improvement / Renovation / Restoration,ShelfGenie,"Investment Required: $90,600-$135,500 USD (Exec model)   $42,350 -$66,750 USD (Owner/operator model)  ($25,100 – $62,750)","$90,600-$135,500 USD (Exec model)   $42,350 -$66,750 USD (Owner/operator model)  ($25,100 – $62,750)",,,
Sign Products & Services,Signarama,Investment Required: $215K,$215K,,,
Sign Products & Services,Signarama,Investment Required:,Investment Required:,,,
Automotive & Truck Services / Products / Rentals,Simplicity Car Care Inc.,Investment Required: Inquire,Inquire,,,
Hotels / Motels / Campgrounds,Sleep Inn® (Choice Hotels Canada Inc.),Investment Required: $4M+,$4M+,,,
Food - Quick Service Restaurants,Smoke's Poutinerie,Investment Required: $350K-$450K,$350K-$450K,,,
Automotive & Truck Services / Products / Rentals,Snap-on Tools of Canada Co.,"Investment Required: $204,181-$528,807","$204,181-$528,807",,,
Food - Quick Service Restaurants,Souvlaki Bar,"Investment Required: $350K-$450K (QSR), $600K-$1.2M (Full Service)","$350K-$450K (QSR), $600K-$1.2M (Full Service)",,,
Automotive & Truck Services / Products / Rentals,Speedy Auto Service,Investment Required: $100K-$300K apx.,$100K-$300K apx.,,,
Educational Products & Services,Spirit of Math Schools,Investment Required: Varies,Varies,,,
Children's Products & Services,Sportball Systems Inc,Investment Required: $60K - $80K,$60K - $80K,,,
Children's Products & Services,Stagecoach Theatre Arts (Canada) Limited,"Investment Required: CAN$ 40,000","CAN$ 40,000",,,
Seniors Services / Home Care / Transition,Stallion Movers,Investment Required: 200-450k (Depending on units/size/etc),200-450k (Depending on units/size/etc),,,
Hair & Nail Salons / Spas,Starks Barber Company,Investment Required: $300K - $375K,$300K - $375K,,,
Educational Products & Services,Steamoji Education,Investment Required: $300000,$300000,,,
Food - Quick Service Restaurants,strEATS Kitchen,"Investment Required: $271,300K-$350,800K","$271,300K-$350,800K",,,
Employment / Personnel Services,Studenttimes Staffing Solutions,"Investment Required: $115,000-$165,000","$115,000-$165,000",,,
Hotels / Motels / Campgrounds,Studio 6,Investment Required: Inquire,Inquire,,,
Health / Fitness / Nutrition,Studio Pilates International,"Investment Required: $300- 500,000","$300- 500,000",,,
Retail,Style Encore,"Investment Required: $321,300 - $435,400","$321,300 - $435,400",,,
Food - Quick Service Restaurants,Subway Subs of Canada Limited,"Investment Required: $143,100-$314,700","$143,100-$314,700",,,
Real Estate,Summit Property Group Canada Inc,Investment Required: Inquire,Inquire,,,
Home - Improvement / Renovation / Restoration,Sunly Franchising Corp.,Investment Required: Inquire,Inquire,,,
Food - Restaurants / Dining Rooms,Sunnyside Grill,Investment Required: Starting at $150K,Starting at $150K,,,
Food - Restaurants / Dining Rooms,Sunset Grill,Investment Required: $700K (includes Franchise Fee),$700K (includes Franchise Fee),,,
Real Estate,Sutton Group Realty Services Ltd.,Investment Required: Inquire,Inquire,,,
Food - Restaurants / Dining Rooms,Symposium Cafe Restaurant & Lounge,Investment Required: $665K-$730K,$665K-$730K,,,
Food - Quick Service Restaurants,Taco Bell Canada,Investment Required: $1M - $1.6M (size dependent & excluding real property),$1M - $1.6M (size dependent & excluding real property),,,
Tanning Salons,Tan on the Run,Investment Required: $10k-25k,$10k-25k,,,
Accounting / Tax Services,TaxAssist Accountants,"Investment Required: $100,000+","$100,000+",,,
Business Consultants / Services / Training,The Entrepreneur's Source,Investment Required: $100K USD,$100K USD,,,
Food - Baked Goods / Coffee / Donuts,The Fresh Tea Shop,Investment Required: TBD,TBD,,,
Food - Baked Goods / Coffee / Donuts,The Fritter Shop,Investment Required: $175K,$175K,,,
Lawn & Garden Supplies / Services,The Gardener Inc.,"Investment Required: $60-125,000","$60-125,000",,,
Commercial / Residential Services,The HandyForce,Investment Required: Inquire,Inquire,,,
Other,Tiki Time Tours,Investment Required: Inquire,Inquire,,,
Food - Baked Goods / Coffee / Donuts,Tim Hortons,Investment Required: $300K unencumbered funds,$300K unencumbered funds,,,
Automotive & Truck Services / Products / Rentals,TINT WORLD® Automotive Styling Centers™,Investment Required: $259K - $399K USD,$259K - $399K USD,,,
Mobile Businesses,Tire Butler,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,Tok-Tok,Investment Required: $250K,$250K,,,
Food - Baked Goods / Coffee / Donuts,Tommy Café,Investment Required: $400K-$900K,$400K-$900K,,,
Hair & Nail Salons / Spas,Tommy Gun's Original Barbershop,Investment Required: $525K and up,$525K and up,,,
Accounting / Tax Services,TPC Tax Planning Centre Ltd.,Investment Required: $3K,$3K,,,
Seniors Services / Home Care / Transition,Tranquil Care Franchising Inc,"Investment Required: $98,750-$152,750","$98,750-$152,750",,,
Retail,Transition Squad Auction House,Investment Required: Inquire,Inquire,,,
Seniors Services / Home Care / Transition,Transition Squad Downsizing Services,Investment Required: $69500,$69500,,,
Sports / Recreation / Entertainment,Trapped Canada,Investment Required: $250K-$500K,$250K-$500K,,,
Food - Restaurants / Dining Rooms,Twin Peaks Restaurants,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,Twisted Indian Wraps,Investment Required: $275K-$300K,$275K-$300K,,,
Commercial / Residential Services,TWO MEN AND A TRUCK,"Investment Required: $210,000-394,000","$210,000-394,000",,,
Educational Products & Services,UCMAS Mental Math,Investment Required: $60K-$99K,$60K-$99K,,,
Educational Products & Services,Ultimate Coders,Investment Required: 150-225k,150-225k,,,
Educational Products & Services,Under the GUI Academy Inc.,Investment Required: $100K,$100K,,,
Travel,Uniglobe Travel International Limited Partnership,Investment Required: $10K-$100K,$10K-$100K,,,
Health / Fitness / Nutrition,UROSPOT,Investment Required: $525-$805,$525-$805,,,
Home - Improvement / Renovation / Restoration,Vertika Design,"Investment Required: $86,500","$86,500",,,
Automotive & Truck Services / Products / Rentals,VIP Lube,Investment Required: Inquire,Inquire,,,
Hair & Nail Salons / Spas,Vixen® Nails & Spa,Investment Required: $250K - $350K (Franchise Fee Included),$250K - $350K (Franchise Fee Included),,,
Sports / Recreation / Entertainment,Water Babies,"Investment Required: $59,500-$73,000","$59,500-$73,000",,,
Beauty / Cosmetics / Supplies,WAXON Laser + Waxbar,"Investment Required: $350,000-$450,000","$350,000-$450,000",,,
Home - Maid / Cleaning Services,We Wash Windows,Investment Required: $35K-$65K,$35K-$65K,,,
Advertising / Marketing / Promotional Products & Services,"Wellnessnews Canada, Inc.","Investment Required: $36,320","$36,320",,,
Food - Quick Service Restaurants,Wendy's Restaurants of Canada Inc.,Investment Required: $500K -$1M,$500K -$1M,,,
Food - Restaurants / Dining Rooms,White Spot Restaurants,Investment Required: $1M-$3M,$1M-$3M,,,
Retail,WILD BIRDS UNLIMITED INC.,Investment Required: $200K-$325K,$200K-$325K,,,
Children's Products & Services,Willowbrae Childcare Academy,Investment Required: $1.97M - $2.50M,$1.97M - $2.50M,,,
Food - Quick Service Restaurants,Wing Machine,Investment Required: Inquire,Inquire,,,
Food - Quick Service Restaurants,WingsUp! Restaurants,Investment Required: $420K,$420K,,,
Home - Improvement / Renovation / Restoration,WISE CRACKS CONCRETE TECHNOLOGIES INC.,Investment Required: $42.5K-$55K,$42.5K-$55K,,,
Children's Products & Services,WP Creations LifeCasting & Jewelry Studios,"Investment Required: $12,500+","$12,500+",,,
Computer / Software / Internet,WSI Digital,Investment Required: $65K - $85K USD minimum,$65K - $85K USD minimum,,,
Sign Products & Services,YESCO Sign & Lighting Service,Investment Required: $84.34K - $461.67K CDN,$84.34K - $461.67K CDN,,,
Food - Restaurants / Dining Rooms,Zaatar W Zeit,Investment Required: Inquire,Inquire,,,
Educational Products & Services,Zebra Robotics,Investment Required: $160K - $320K,$160K - $320K,,,
